book_id,title,subtitle,series,series_number,author,publisher,publication_date,description,bisac_1,bisac_2,bisac_3,language,kobo_price_usd,apple_price_usd,google_price_usd,barnes_noble_price_usd,book_file,cover_file
B01,30 Scripts for the Postpartum Visitor,"What to Say When Family Drops By in the First Six Weeks. A Postpartum Companion for New Parents Setting Boundaries.",Soothemade,1,Soothemade,Soothemade,2026-05-28,"The first six weeks after a baby arrives are not the six weeks anyone visits well. You are leaking, exhausted, in love, and being asked when you'll get out more. This book is what to say. Thirty short scripts for the visitor moments that catch new parents off guard. Written by Maya, a postpartum doula.",FAM033000,SEL023000,FAM034000,en,4.99,4.99,4.99,4.99,ebooks/B01_30-scripts-postpartum-visitor/book.epub,ebooks/B01_30-scripts-postpartum-visitor/cover-kdp.jpg
B02,The Field Guide to Asking for Help,"30 Scripts for Asking Specific People for Specific Help. A Communication Companion for New Parents, Caregivers, and Anyone Carrying Too Much Alone.",Soothemade,2,Soothemade,Soothemade,2026-05-28,"The inverse of saying no. Thirty short scripts across eight categories of help for the asks that most people never make. Meals, childcare, eldercare, errands, emotional support, money, home help, visits.",SEL023000,FAM033000,SEL031000,en,4.99,4.99,4.99,4.99,ebooks/B02_asking-for-help/book.epub,ebooks/B02_asking-for-help/cover-kdp.jpg
B03,How to Read Your Baby,"A Newborn Cue Decoder for New Parents. 30 Cries, Sleep Signs, Hunger Signals, Overstimulation Markers, and Connection Cues, Translated.",Soothemade,3,Soothemade,Soothemade,2026-05-28,"A newborn cannot tell you what is wrong. So they tell you in faces, sounds, hands, and feet. This book is the translator. Thirty cues across five packs.",FAM034000,FAM004000,FAM033000,en,4.99,4.99,4.99,4.99,ebooks/B03_how-to-read-your-baby/book.epub,ebooks/B03_how-to-read-your-baby/cover-kdp.jpg
B04,Big Feelings,"40 Cards for the Toddler on the Kitchen Floor. A Field Guide to Naming Emotions, Calming Down, and Resetting After the Storm.",Soothemade,4,Soothemade,Soothemade,2026-05-28,"A field guide for the toddler who is on the kitchen floor and cannot say why. Forty cards across four packs.",FAM004000,SEL023000,FAM033000,en,4.99,4.99,4.99,4.99,ebooks/B04_big-feelings/book.epub,ebooks/B04_big-feelings/cover-kdp.jpg
B05,The Pregnancy Safety Reference,"The Everyday Is This Okay Questions, Organized. A Pregnancy Companion for Food, Activity, Medication, Travel, and Workplace Concerns.",Soothemade,5,Soothemade,Soothemade,2026-05-28,"A pregnancy reference for the everyday is-this-okay questions. Organized by category. The book does not make safety verdicts. It organizes the questions. The answers belong to the provider.",HEA041000,FAM033000,HEA022000,en,4.99,4.99,4.99,4.99,ebooks/B05_pregnancy-safety/book.epub,ebooks/B05_pregnancy-safety/cover-kdp.jpg
B06,Birth Is Scary,"A Field Guide to the Fear of Giving Birth. Validating Birth Anxiety, Naming the Specific Fears, and Scripts for the People Around You.",Soothemade,6,Soothemade,Soothemade,2026-05-28,"A field guide for the fear of giving birth. Validates the fear as data, not weakness. Names the specific sub-fears.",HEA041000,SEL036000,HEA039000,en,4.99,4.99,4.99,4.99,ebooks/B06_birth-is-scary/book.epub,ebooks/B06_birth-is-scary/cover-kdp.jpg
B07,Slow Motherhood,"A Short Manifesto for the Mom Who Is Tired of Optimizing. Permission to Pick the Coffee Instead of the Laundry, Written Down.",Soothemade,7,Soothemade,Soothemade,2026-05-28,"A short manifesto for slow motherhood. Not the Sunday in a sunbeam with a sourdough loaf. The Tuesday at 4pm when you have four minutes and you pick the coffee instead of the laundry.",FAM033000,SEL031000,LCO010000,en,4.99,4.99,4.99,4.99,ebooks/B07_slow-motherhood/book.epub,ebooks/B07_slow-motherhood/cover-kdp.jpg
B08,The Partner's Postpartum Playbook,"12 Weeks of What to Actually Do After the Baby Arrives. A Guide for New Dads, Non-Birthing Parents, and Anyone Who Wants to Show Up Right.",Soothemade,8,Soothemade,Soothemade,2026-05-28,"A guide written TO the non-birthing partner. Twelve weeks of what to actually do, in what order.",FAM010000,FAM004000,FAM033000,en,4.99,4.99,4.99,4.99,ebooks/B08_partner-postpartum/book.epub,ebooks/B08_partner-postpartum/cover-kdp.jpg
B09,Nine Months You Are Also Living,"A Pregnancy Companion for the Non-Birthing Partner. Trimester-by-Trimester, How to Be Useful and How to Take Care of Yourself.",Soothemade,9,Soothemade,Soothemade,2026-05-28,"Written for the non-birthing partner during pregnancy. The prequel to The Partner's Postpartum Playbook.",FAM010000,HEA041000,SEL023000,en,4.99,4.99,4.99,4.99,ebooks/B09_nine-months-also/book.epub,ebooks/B09_nine-months-also/cover-kdp.jpg
B10,The First Six Weeks,"A Newborn Survival Book, Week by Week. For New Parents Who Walk Into a Room and Forget Why.",Soothemade,10,Soothemade,Soothemade,2026-05-28,"Six weeks of week-by-week scaffolding for the first six weeks home with a newborn. Built for the version of you who walks into a room and forgets why.",HEA041000,FAM004000,FAM033000,en,4.99,4.99,4.99,4.99,ebooks/B10_first-six-weeks/book.epub,ebooks/B10_first-six-weeks/cover-kdp.jpg
B11,"Caregiving, the First 90 Days","For the Family Member Whose Life Just Changed. A Three-Month Companion for the Stroke, the Fall, the Diagnosis, the Discharge to Now What.",Soothemade,11,Soothemade,Soothemade,2026-05-28,"A book for the family member who has just had a parent or partners situation change. The stroke. The fall. The dementia diagnosis. The hospital discharge to now what.",HEA006000,FAM006000,SEL010000,en,4.99,4.99,4.99,4.99,ebooks/B11_eldercare-90-days/book.epub,ebooks/B11_eldercare-90-days/cover-kdp.jpg
B12,The Long Caregiving Stretch,"For the Months and Years After the First 90 Days. Respite Planning, Sibling Conflict, Caregiver Burnout, and the Anger No One Names.",Soothemade,12,Soothemade,Soothemade,2026-05-28,"For the long-haul family caregiver. The ongoing months and years of caring for an aging parent or a partner with chronic illness.",HEA006000,FAM006000,SEL010000,en,4.99,4.99,4.99,4.99,ebooks/B12_long-caregiving-stretch/book.epub,ebooks/B12_long-caregiving-stretch/cover-kdp.jpg
